note_id,client_id,note_text,note_date,linked_transaction_id
N0200,CL000003,Estate planning consultation. Client working with legal advisors on family trust structure. May impact account configuration in Q2.,2025-01-18,
N0201,CL000003,Discussed upcoming outgoing wire of approximately CHF 9.1k expected late January. Client confirmed beneficiary details and purpose.,2025-01-20,TR00000530
N0202,CL000003,Confirmed receipt of incoming CHF 9.4k transfer from Prime Holdings. Routine operational confirmation.,2025-01-20,TR00000527
N0203,CL000003,Tax optimization discussion ahead of year-end reporting. Client working with tax advisor. Reviewed documentation requirements.,2025-01-21,
N0204,CL000003,Quarterly portfolio review completed. Client overall satisfied with performance. Discussed potential rebalancing in Q1. No immediate actions required.,2025-01-22,
N0205,CL000003,Telephone instruction received for approximately CHF 7.6k incoming wire. Beneficiary: Elite Partners. Client authenticated via dual control. Executing 21 Jan.,2025-01-21,TR00000532
N0206,CL000003,Follow-up on outgoing payment to Prime Group. Client verified the approximately CHF 9.9k transfer and provided final authorization.,2025-01-19,TR00000536
N0207,CL000003,Client inquiry regarding outgoing transfer of approximately CHF 8.2k to Global GmbH. Status confirmed as completed.,2025-01-19,TR00000538
N0208,CL000003,Confirmed details for incoming payment: CHF 9.9k from United AG. Client satisfied with execution timeline.,2025-01-23,TR00000540
N0209,CL000003,Long-term asset allocation review. Client interested in increasing alternatives exposure. Exploring private equity opportunities.,2025-01-25,
N0210,CL000003,Follow-up call regarding an older USD credit of approximately CHF 3.3k from First Group. Client satisfied with booking.,2024-10-30,TR00000542
N0211,CL000003,Annual relationship review scheduled for next month. Client requested detailed fee breakdown and performance attribution. Preparing materials.,2024-10-31,
N0212,CL000003,Client discussed two small October debits to Elite Wealth Trading and Elite Financial Corp totalling approximately CHF 1.1k. Part of portfolio adjustment.,2024-10-14,TR00000544|TR00000555
N0213,CL000003,Confirmed incoming GBP wire of approximately CHF 1.6k from Beta Partners. Client acknowledged receipt.,2024-10-26,TR00000545
N0214,CL000003,Reviewed security-related debit to International Holdings. Client confirmed transaction intent and long-term positioning.,2024-10-29,TR00000546
N0215,CL000003,Client traveling to Europe for 2 weeks. Updated contact preferences and emergency contacts. All communication via secure email only.,2024-10-15,
N0216,CL000003,Processing incoming payment per client instruction. Counterparty: Elite GmbH. Amount: approximately CHF 801. Settlement 17 Oct.,2024-10-17,TR00000547
N0217,CL000003,Batch payment instruction received: two incoming credits from Prime Trading (CHF 1.5k) and Premier Corp (CHF 1.1k). Client authorized same-day settlement.,2024-10-11,TR00000548|TR00000557
N0218,CL000003,Detailed review of multiple October transactions with Prime Holdings and International Wealth Investments. Client comfortable with activity.,2024-10-31,TR00000550|TR00000551
N0219,CL000003,Annual KYC refresh completed. Updated employment details and income sources. No material changes to risk assessment.,2024-11-05,
N0220,CL000003,Received standing instruction for USD security credit from Omega AG. Scheduled for 16 Nov. Client confirmed via secure message.,2024-11-16,TR00000564
N0221,CL000003,Client requested access to enhanced online reporting platform. Arranged demo with digital banking team for next week.,2024-11-24,
N0222,CL000003,Client submitted transfer request: Prime Trade Limited, approximately CHF 5.3k outgoing in EUR. Compliance approved, executing 1 Dec.,2024-12-01,TR00000569
N0223,CL000003,Follow-up call regarding debit to Beta Wealth GmbH. Client satisfied with execution.,2024-12-02,TR00000571
N0224,CL000003,Succession planning discussion. Client considering gradual wealth transfer to next generation. Referred to trust and estate specialists.,2024-12-10,
N0225,CL000003,Confirmed receipt of cheque credit from United Trade Trading. Client satisfied with processing timeline.,2024-12-02,TR00000585
N0226,CL000003,Discussed potential currency hedging strategy given CHF strength. Client wants to wait and monitor. Scheduled review for next quarter.,2024-12-15,
N0227,CL000003,Client requested status update on cash credit from Premier Investments. Processing completed successfully.,2024-12-16,TR00000588
N0228,CL000003,Telephone instruction received for early January cash inflow. Beneficiary: United Holdings. Client authenticated via dual control.,2025-01-03,TR00000589
N0229,CL000003,Client meeting notes: Discussed outgoing payment to Premier AG. Counterparty approved by compliance. Processing timeline confirmed.,2024-12-14,TR00000590
N0230,CL000003,Follow-up call regarding the incoming wire from First Partners. Client confirmed all details.,2025-01-04,TR00000599
N0231,CL000003,Reviewed mid-January security debit. Client comfortable with investment rationale and diversification strategy.,2025-01-11,TR00000597
N0232,CL000003,Client raised concerns about geopolitical risks. Reviewed portfolio stress tests. Comfortable with current diversification.,2025-01-15,
N0233,CL000003,Confirmed details for incoming wire: approximately CHF 11.3k from United Group. Client satisfied with execution timeline.,2025-01-26,TR00000606
N0234,CL000003,Discussed upcoming outgoing payment to Alpha Partners for approximately CHF 8.8k. Client confirmed details and requested execution on 1 Mar.,2025-03-01,TR00000629
N0235,CL000003,Client signature verification for new mandate. Documents returned, currently in processing. Expected completion within 5 business days.,2025-03-15,
N0236,CL000003,Updated beneficial owner information per client notification. Compliance review in progress. Account fully operational.,2025-03-27,
N0237,CL000003,Confirmed details for outgoing payment: CHF 5.7k to Prime Corp. Client satisfied with execution timeline.,2025-03-26,TR00000639
N0238,CL000003,Client requested confirmation on an incoming payment of approximately CHF 5.3k from Premier AG. Everything processed correctly.,2025-04-04,TR00000656
N0239,CL000003,Discussed upcoming regulatory changes to cross-border reporting. Client acknowledged requirements. No concerns raised.,2025-04-21,
N0240,CL000003,Client discussed two outgoing payments in early April: Alpha GmbH (CHF 4.6k cheque) and Prime GmbH (CHF 8.0k wire). Confirmed execution dates.,2025-04-07,TR00000660|TR00000661
N0241,CL000003,Annual regulatory reporting completed. Client copy sent via secure delivery. No questions or concerns raised.,2025-04-07,
N0242,CL000003,Client inquiry about sustainable investment options. Sent ESG portfolio framework document. Follow-up call scheduled.,2025-04-20,
N0243,CL000003,Confirmed outgoing security debit of approximately CHF 7.4k to Global Capital. Client acknowledged strategic allocation.,2025-04-19,TR00000669
N0244,CL000003,Discussed upcoming changes to fee structure. Client acknowledged and had no concerns. Sent follow-up email with detailed breakdown.,2025-05-01,
N0245,CL000003,Confirmed incoming wire of approximately CHF 6.6k from International Partners. Routine confirmation provided.,2025-05-05,TR00000678
N0246,CL000003,Follow-up on outgoing payment to First Trade Capital. Client verified transfer and provided final authorization.,2025-05-23,TR00000687
N0247,CL000003,Quarterly portfolio review completed. Client overall satisfied with performance. Discussed potential rebalancing in Q2. No immediate actions required.,2025-05-31,
N0248,CL000003,Processing incoming payment per client instruction. Counterparty: Omega Financial Partners. Amount: approximately CHF 11.5k. Settlement 14 Jun.,2025-06-14,TR00000698
N0249,CL000003,Client called regarding general account access issues. Resolved MFA setup problem. No transactions discussed.,2025-06-18,
N0250,CL000003,Discussed upcoming liquidity needs for Q3. Client comfortable with current cash position. Planning only.,2025-06-30,
N0251,CL000003,Confirmed details for outgoing security debit: Omega Group. Client satisfied with execution timeline and investment rationale.,2025-06-23,TR00000704
N0252,CL000003,Client traveling to Asia for 3 weeks. Updated contact preferences and emergency contacts. All communication via secure email only.,2025-07-01,
N0253,CL000003,Confirmed incoming wire of approximately CHF 8.9k from Alpha Partners. Client acknowledged receipt.,2025-07-18,TR00000733
N0254,CL000003,Client requested clarification on July account activity summary. Reviewed movements and client satisfied.,2025-07-31,
N0255,CL000003,Detailed review of outgoing payment arrangement with Prime GmbH. Amount: approximately CHF 10.4k, scheduled 29 Aug. Client requested email confirmation post-execution.,2025-08-29,TR00000738
N0256,CL000003,Client requested historical statements for tax filing purposes. Provided via secure channel.,2025-08-16,
N0257,CL000003,Received standing instruction for security credit from First Limited. Scheduled for 17 Aug. Client confirmed via secure message.,2025-08-17,TR00000737
N0258,CL000003,End-of-month reconciliation call. Client satisfied with August activity. No discrepancies noted.,2025-08-31,
N0259,CL000003,Annual relationship review scheduled for October. Client requested detailed performance attribution. Preparing materials.,2025-09-10,
N0260,CL000003,Follow-up call regarding incoming wire of approximately CHF 6.8k from Prime Financial Partners. Client satisfied with execution.,2025-09-23,TR00000758
N0261,CL000003,End-of-period relationship review completed. Client comfortable with service level and overall account management.,2025-09-30,
